Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[strain]	Characteristics[developmental stage]	Characteristics[growth condition]	Material Type	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[developmental stage]	Factor Value[growth condition]
Sample 19	Vitis vinifera	root	1103 Paulsen	60 dpt	Nitrate +	organism part	P-MTAB-41955	P-MTAB-41954	Sample 19	P-MTAB-41953	Sample 19:Cy3	Cy3	P-MTAB-41952	N113	array assay	A-MEXP-2292	ArrayExpress	P-MTAB-41951	N113.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3062/E-MTAB-3062.raw.1.zip	60 dpt	Nitrate +
Sample 2	Vitis vinifera	root	Riparia Gloire de Montpellier	15 dpt	Nitrate +	organism part	P-MTAB-41955	P-MTAB-41954	Sample 2	P-MTAB-41953	Sample 2:Cy3	Cy3	P-MTAB-41952	N043	array assay	A-MEXP-2292	ArrayExpress	P-MTAB-41951	N043.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3062/E-MTAB-3062.raw.1.zip	15 dpt	Nitrate +
Sample 20	Vitis vinifera	root	1103 Paulsen	60 dpt	Nitrate +	organism part	P-MTAB-41955	P-MTAB-41954	Sample 20	P-MTAB-41953	Sample 20:Cy3	Cy3	P-MTAB-41952	N117	array assay	A-MEXP-2292	ArrayExpress	P-MTAB-41951	N117.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3062/E-MTAB-3062.raw.1.zip	60 dpt	Nitrate +
Sample 21	Vitis vinifera	root	1103 Paulsen	60 dpt	Nitrate +	organism part	P-MTAB-41955	P-MTAB-41954	Sample 21	P-MTAB-41953	Sample 21:Cy3	Cy3	P-MTAB-41952	N119	array assay	A-MEXP-2292	ArrayExpress	P-MTAB-41951	N119.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3062/E-MTAB-3062.raw.1.zip	60 dpt	Nitrate +
Sample 22	Vitis vinifera	root	1103 Paulsen	60 dpt	Nitrate -	organism part	P-MTAB-41955	P-MTAB-41954	Sample 22	P-MTAB-41953	Sample 22:Cy3	Cy3	P-MTAB-41952	N128	array assay	A-MEXP-2292	ArrayExpress	P-MTAB-41951	N128.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3062/E-MTAB-3062.raw.1.zip	60 dpt	Nitrate -
Sample 23	Vitis vinifera	root	1103 Paulsen	60 dpt	Nitrate -	organism part	P-MTAB-41955	P-MTAB-41954	Sample 23	P-MTAB-41953	Sample 23:Cy3	Cy3	P-MTAB-41952	N130	array assay	A-MEXP-2292	ArrayExpress	P-MTAB-41951	N130.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3062/E-MTAB-3062.raw.1.zip	60 dpt	Nitrate -
Sample 24	Vitis vinifera	root	1103 Paulsen	60 dpt	Nitrate -	organism part	P-MTAB-41955	P-MTAB-41954	Sample 24	P-MTAB-41953	Sample 24:Cy3	Cy3	P-MTAB-41952	N144	array assay	A-MEXP-2292	ArrayExpress	P-MTAB-41951	N144.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3062/E-MTAB-3062.raw.1.zip	60 dpt	Nitrate -
Sample 3	Vitis vinifera	root	Riparia Gloire de Montpellier	15 dpt	Nitrate +	organism part	P-MTAB-41955	P-MTAB-41954	Sample 3	P-MTAB-41953	Sample 3:Cy3	Cy3	P-MTAB-41952	N044	array assay	A-MEXP-2292	ArrayExpress	P-MTAB-41951	N044.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3062/E-MTAB-3062.raw.1.zip	15 dpt	Nitrate +
Sample 4	Vitis vinifera	root	Riparia Gloire de Montpellier	15 dpt	Nitrate -	organism part	P-MTAB-41955	P-MTAB-41954	Sample 4	P-MTAB-41953	Sample 4:Cy3	Cy3	P-MTAB-41952	N054	array assay	A-MEXP-2292	ArrayExpress	P-MTAB-41951	N054.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3062/E-MTAB-3062.raw.1.zip	15 dpt	Nitrate -
Sample 5	Vitis vinifera	root	Riparia Gloire de Montpellier	15 dpt	Nitrate -	organism part	P-MTAB-41955	P-MTAB-41954	Sample 5	P-MTAB-41953	Sample 5:Cy3	Cy3	P-MTAB-41952	N058	array assay	A-MEXP-2292	ArrayExpress	P-MTAB-41951	N058.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3062/E-MTAB-3062.raw.1.zip	15 dpt	Nitrate -
Sample 6	Vitis vinifera	root	Riparia Gloire de Montpellier	15 dpt	Nitrate -	organism part	P-MTAB-41955	P-MTAB-41954	Sample 6	P-MTAB-41953	Sample 6:Cy3	Cy3	P-MTAB-41952	N066	array assay	A-MEXP-2292	ArrayExpress	P-MTAB-41951	N066.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3062/E-MTAB-3062.raw.1.zip	15 dpt	Nitrate -
Sample 7	Vitis vinifera	root	1103 Paulsen	15 dpt	Nitrate +	organism part	P-MTAB-41955	P-MTAB-41954	Sample 7	P-MTAB-41953	Sample 7:Cy3	Cy3	P-MTAB-41952	N108	array assay	A-MEXP-2292	ArrayExpress	P-MTAB-41951	N108.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3062/E-MTAB-3062.raw.1.zip	15 dpt	Nitrate +
Sample 8	Vitis vinifera	root	1103 Paulsen	15 dpt	Nitrate +	organism part	P-MTAB-41955	P-MTAB-41954	Sample 8	P-MTAB-41953	Sample 8:Cy3	Cy3	P-MTAB-41952	N112	array assay	A-MEXP-2292	ArrayExpress	P-MTAB-41951	N112.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3062/E-MTAB-3062.raw.1.zip	15 dpt	Nitrate +
Sample 9	Vitis vinifera	root	1103 Paulsen	15 dpt	Nitrate +	organism part	P-MTAB-41955	P-MTAB-41954	Sample 9	P-MTAB-41953	Sample 9:Cy3	Cy3	P-MTAB-41952	N116	array assay	A-MEXP-2292	ArrayExpress	P-MTAB-41951	N116.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3062/E-MTAB-3062.raw.1.zip	15 dpt	Nitrate +
