Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[cultivar]	Characteristics[organism part]	Characteristics[developmental stage]	Description	Comment [collection_date]	Comment [isolate]	Comment [geo_loc_name]	Comment[ENA_ALIAS]	Comment[ENA_SAMPLE]	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[Center]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[READ_INDEX_1_BASE_COORD]	Comment[SPOT_LENGTH]	Factor Value[organism part]	FactorValue[developmental stage]
SRS350608	Vitis vinifera	NCBI Taxonomy	29760	Corvina	fruit	mid whole plant fruit ripening stage	  	  	  	Italy: Verona	MR_II 	SRS350608	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX160441	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	  	  	SEQUENCING_PROTOCOL_1	FGC	SRX160441	sequencing assay	SRX160441	SRR522475_1	FGC	SRR522475	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR522/SRR522475/SRR522475_1.fastq.gz	  	102	fruit	mid whole plant fruit ripening stage
SRS350608	Vitis vinifera	NCBI Taxonomy	29760	Corvina	fruit	mid whole plant fruit ripening stage	  	  	  	Italy: Verona	MR_II 	SRS350608	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX160441	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	  	  	SEQUENCING_PROTOCOL_1	FGC	SRX160441	sequencing assay	SRX160441	SRR522475_2	FGC	SRR522475	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR522/SRR522475/SRR522475_2.fastq.gz	  	102	fruit	mid whole plant fruit ripening stage
SRS350609	Vitis vinifera	NCBI Taxonomy	29760	Corvina	fruit	mid whole plant fruit ripening stage	  	  	  	Italy: Verona	MR_III 	SRS350609	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX160448	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	  	  	SEQUENCING_PROTOCOL_1	FGC	SRX160448	sequencing assay	SRX160448	SRR522477_1	FGC	SRR522477	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR522/SRR522477/SRR522477_1.fastq.gz	  	102	fruit	mid whole plant fruit ripening stage
SRS350609	Vitis vinifera	NCBI Taxonomy	29760	Corvina	fruit	mid whole plant fruit ripening stage	  	  	  	Italy: Verona	MR_III 	SRS350609	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX160448	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	  	  	SEQUENCING_PROTOCOL_1	FGC	SRX160448	sequencing assay	SRX160448	SRR522477_2	FGC	SRR522477	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR522/SRR522477/SRR522477_2.fastq.gz	  	102	fruit	mid whole plant fruit ripening stage
SRS350610	Vitis vinifera	NCBI Taxonomy	29760	Corvina	fruit	post-harvest withering 	  	  	  	Italy: Verona	PHW_I 	SRS350610	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX160449	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	  	  	SEQUENCING_PROTOCOL_1	FGC	SRX160449	sequencing assay	SRX160449	SRR522478_1	FGC	SRR522478	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR522/SRR522478/SRR522478_1.fastq.gz	  	102	fruit	post-harvest withering 
SRS350610	Vitis vinifera	NCBI Taxonomy	29760	Corvina	fruit	post-harvest withering 	  	  	  	Italy: Verona	PHW_I 	SRS350610	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX160449	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	  	  	SEQUENCING_PROTOCOL_1	FGC	SRX160449	sequencing assay	SRX160449	SRR522478_2	FGC	SRR522478	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR522/SRR522478/SRR522478_2.fastq.gz	  	102	fruit	post-harvest withering 
SRS350611	Vitis vinifera	NCBI Taxonomy	29760	Corvina	fruit	post-harvest withering 	  	  	  	Italy: Verona	PHW_II 	SRS350611	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX160452	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	  	  	SEQUENCING_PROTOCOL_1	FGC	SRX160452	sequencing assay	SRX160452	SRR522479_1	FGC	SRR522479	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR522/SRR522479/SRR522479_1.fastq.gz	  	102	fruit	post-harvest withering 
SRS350611	Vitis vinifera	NCBI Taxonomy	29760	Corvina	fruit	post-harvest withering 	  	  	  	Italy: Verona	PHW_II 	SRS350611	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX160452	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	  	  	SEQUENCING_PROTOCOL_1	FGC	SRX160452	sequencing assay	SRX160452	SRR522479_2	FGC	SRR522479	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR522/SRR522479/SRR522479_2.fastq.gz	  	102	fruit	post-harvest withering 
SRS350616	Vitis vinifera	NCBI Taxonomy	29760	Corvina	fruit	post-harvest withering 	  	  	  	Italy: Verona	PHW_III 	SRS350616	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX160461	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	  	  	SEQUENCING_PROTOCOL_1	FGC	SRX160461	sequencing assay	SRX160461	SRR522484_1	FGC	SRR522484	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR522/SRR522484/SRR522484_1.fastq.gz	  	102	fruit	post-harvest withering 
SRS350616	Vitis vinifera	NCBI Taxonomy	29760	Corvina	fruit	post-harvest withering 	  	  	  	Italy: Verona	PHW_III 	SRS350616	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX160461	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	  	  	SEQUENCING_PROTOCOL_1	FGC	SRX160461	sequencing assay	SRX160461	SRR522484_2	FGC	SRR522484	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR522/SRR522484/SRR522484_2.fastq.gz	  	102	fruit	post-harvest withering 
