Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[cultivar]	Characteristics[initial time point]	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Description	Comment[ENA_ALIAS]	Comment[ENA_SAMPLE]	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[Center]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[READ_INDEX_1_BASE_COORD]	Comment[SPOT_LENGTH]	FactorValue[organism part]	FactorValue [age]	Unit[time unit]
SRS428733	Vitis vinifera	NCBI Taxonomy	29760	Tannat	flowering stage	5	week	pericarp	Reads of polyA RNA extracted from skin at 5 week after flowering	Tannat_skin2_rep3	SRS428733	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX285767	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	450	0	SEQUENCING_PROTOCOL_1	FGC	SRX285767	sequencing assay	SRX285767	SRR866570_1	FGC	SRR866570	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/SRR866570/SRR866570_1.fastq.gz	102	202	pericarp	5	week
SRS428733	Vitis vinifera	NCBI Taxonomy	29760	Tannat	flowering stage	5	week	pericarp	Reads of polyA RNA extracted from skin at 5 week after flowering	Tannat_skin2_rep3	SRS428733	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX285767	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	450	0	SEQUENCING_PROTOCOL_1	FGC	SRX285767	sequencing assay	SRX285767	SRR866570_2	FGC	SRR866570	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/SRR866570/SRR866570_2.fastq.gz	102	202	pericarp	5	week
SRS428734	Vitis vinifera	NCBI Taxonomy	29760	Tannat	flowering stage	7	week	pericarp	Reads of polyA RNA extracted from skin at 7 weeks after flowering	Tannat_skin3_rep1	SRS428734	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX285768	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	450	0	SEQUENCING_PROTOCOL_1	FGC	SRX285768	sequencing assay	SRX285768	SRR866571_1	FGC	SRR866571	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/SRR866571/SRR866571_1.fastq.gz	102	202	pericarp	7	week
SRS428734	Vitis vinifera	NCBI Taxonomy	29760	Tannat	flowering stage	7	week	pericarp	Reads of polyA RNA extracted from skin at 7 weeks after flowering	Tannat_skin3_rep1	SRS428734	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX285768	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	450	0	SEQUENCING_PROTOCOL_1	FGC	SRX285768	sequencing assay	SRX285768	SRR866571_2	FGC	SRR866571	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/SRR866571/SRR866571_2.fastq.gz	102	202	pericarp	7	week
SRS428735	Vitis vinifera	NCBI Taxonomy	29760	Tannat	flowering stage	7	week	pericarp	Reads of polyA RNA extracted from skin at 7 weeks after flowering	Tannat_skin3_rep2	SRS428735	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX285769	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	450	0	SEQUENCING_PROTOCOL_1	FGC	SRX285769	sequencing assay	SRX285769	SRR866572_1	FGC	SRR866572	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/SRR866572/SRR866572_1.fastq.gz	102	202	pericarp	7	week
SRS428735	Vitis vinifera	NCBI Taxonomy	29760	Tannat	flowering stage	7	week	pericarp	Reads of polyA RNA extracted from skin at 7 weeks after flowering	Tannat_skin3_rep2	SRS428735	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX285769	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	450	0	SEQUENCING_PROTOCOL_1	FGC	SRX285769	sequencing assay	SRX285769	SRR866572_2	FGC	SRR866572	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/SRR866572/SRR866572_2.fastq.gz	102	202	pericarp	7	week
SRS428744	Vitis vinifera	NCBI Taxonomy	29760	Tannat	flowering stage	7	week	seed	Reads of polyA RNA extracted from seeds at 7 weeks after flowering	Tannat_seeds3_rep1	SRS428744	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX285778	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	450	0	SEQUENCING_PROTOCOL_1	FGC	SRX285778	sequencing assay	SRX285778	SRR866574_1	FGC	SRR866574	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/SRR866574/SRR866574_1.fastq.gz	102	202	seed	7	week
SRS428744	Vitis vinifera	NCBI Taxonomy	29760	Tannat	flowering stage	7	week	seed	Reads of polyA RNA extracted from seeds at 7 weeks after flowering	Tannat_seeds3_rep1	SRS428744	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX285778	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	450	0	SEQUENCING_PROTOCOL_1	FGC	SRX285778	sequencing assay	SRX285778	SRR866574_2	FGC	SRR866574	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/SRR866574/SRR866574_2.fastq.gz	102	202	seed	7	week
SRS428747	Vitis vinifera	NCBI Taxonomy	29760	Tannat	flowering stage	7	week	seed	Reads of polyA RNA extracted from seeds at 7 weeks after flowering	Tannat_seeds3_rep2	SRS428747	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX285781	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	450	0	SEQUENCING_PROTOCOL_1	FGC	SRX285781	sequencing assay	SRX285781	SRR866575_1	FGC	SRR866575	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/SRR866575/SRR866575_1.fastq.gz	102	202	seed	7	week
SRS428747	Vitis vinifera	NCBI Taxonomy	29760	Tannat	flowering stage	7	week	seed	Reads of polyA RNA extracted from seeds at 7 weeks after flowering	Tannat_seeds3_rep2	SRS428747	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX285781	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	450	0	SEQUENCING_PROTOCOL_1	FGC	SRX285781	sequencing assay	SRX285781	SRR866575_2	FGC	SRR866575	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/SRR866575/SRR866575_2.fastq.gz	102	202	seed	7	week
SRS428749	Vitis vinifera	NCBI Taxonomy	29760	Tannat	flowering stage	7	week	seed	Reads of polyA RNA extracted from seeds at 7 weeks after flowering	Tannat_seeds3_rep3	SRS428749	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX285783	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	450	0	SEQUENCING_PROTOCOL_1	FGC	SRX285783	sequencing assay	SRX285783	SRR866576_1	FGC	SRR866576	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/SRR866576/SRR866576_1.fastq.gz	102	202	seed	7	week
SRS428749	Vitis vinifera	NCBI Taxonomy	29760	Tannat	flowering stage	7	week	seed	Reads of polyA RNA extracted from seeds at 7 weeks after flowering	Tannat_seeds3_rep3	SRS428749	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX285783	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	450	0	SEQUENCING_PROTOCOL_1	FGC	SRX285783	sequencing assay	SRX285783	SRR866576_2	FGC	SRR866576	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/SRR866576/SRR866576_2.fastq.gz	102	202	seed	7	week
