Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cultivar]	Characteristics[genotype]	Characteristics[disease]	Characteristics[phenotype]	Characteristics[organism part]	Characteristics[replicate]	Characteristics[growth condition]	Characteristics[sampling time point]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[disease]	Factor Value[phenotype]	Factor Value[sampling time point]
CFIV-2	ERS8946017	SAMEA11296458	Vitis vinifera	Furmint	wild type genotype	stage III. Noble rot	mature noble rot berries, fully shrivelled	berry	2/5	field study	October 25, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	CFIV-2	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	CFIV-2	sequencing assay	ERX6991125	CFIV-2.fastq.gz	CFIV-2.fastq.gz	ERR7421532	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/002/ERR7421532/ERR7421532.fastq.gz	stage III. Noble rot	mature noble rot berries, fully shrivelled	October 25, 2016
CFIV-3	ERS8946018	SAMEA11296459	Vitis vinifera	Furmint	wild type genotype	stage III. Noble rot	mature noble rot berries, fully shrivelled	berry	3/5	field study	October 25, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	CFIV-3	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	CFIV-3	sequencing assay	ERX6991126	CFIV-3.fastq.gz	CFIV-3.fastq.gz	ERR7421533	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/003/ERR7421533/ERR7421533.fastq.gz	stage III. Noble rot	mature noble rot berries, fully shrivelled	October 25, 2016
CFIV-4	ERS8946019	SAMEA11296460	Vitis vinifera	Furmint	wild type genotype	stage III. Noble rot	mature noble rot berries, fully shrivelled	berry	4/5	field study	October 25, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	CFIV-4	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	CFIV-4	sequencing assay	ERX6991127	CFIV-4.fastq.gz	CFIV-4.fastq.gz	ERR7421534	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/004/ERR7421534/ERR7421534.fastq.gz	stage III. Noble rot	mature noble rot berries, fully shrivelled	October 25, 2016
CFIV-5	ERS8946020	SAMEA11296461	Vitis vinifera	Furmint	wild type genotype	stage III. Noble rot	mature noble rot berries, fully shrivelled	berry	5/5	field study	October 25, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	CFIV-5	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	CFIV-5	sequencing assay	ERX6991128	CFIV-5.fastq.gz	CFIV-5.fastq.gz	ERR7421535	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/005/ERR7421535/ERR7421535.fastq.gz	stage III. Noble rot	mature noble rot berries, fully shrivelled	October 25, 2016
DFIV-1	ERS8946021	SAMEA11296462	Vitis vinifera	Furmint	wild type genotype	stage III. Noble rot	mature noble rot berries, fully shrivelled	berry	1/5	field study	November 3, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	DFIV-1	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	DFIV-1	sequencing assay	ERX6991129	DFIV-1.fastq.gz	DFIV-1.fastq.gz	ERR7421536	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/006/ERR7421536/ERR7421536.fastq.gz	stage III. Noble rot	mature noble rot berries, fully shrivelled	November 3, 2016
DFIV-2	ERS8946022	SAMEA11296463	Vitis vinifera	Furmint	wild type genotype	stage III. Noble rot	mature noble rot berries, fully shrivelled	berry	2/5	field study	November 3, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	DFIV-2	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	DFIV-2	sequencing assay	ERX6991130	DFIV-2.fastq.gz	DFIV-2.fastq.gz	ERR7421537	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/007/ERR7421537/ERR7421537.fastq.gz	stage III. Noble rot	mature noble rot berries, fully shrivelled	November 3, 2016
DFIV-3	ERS8946023	SAMEA11296464	Vitis vinifera	Furmint	wild type genotype	stage III. Noble rot	mature noble rot berries, fully shrivelled	berry	3/5	field study	November 3, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	DFIV-3	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	DFIV-3	sequencing assay	ERX6991131	DFIV-3.fastq.gz	DFIV-3.fastq.gz	ERR7421538	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/008/ERR7421538/ERR7421538.fastq.gz	stage III. Noble rot	mature noble rot berries, fully shrivelled	November 3, 2016
DFIV-4	ERS8946024	SAMEA11296465	Vitis vinifera	Furmint	wild type genotype	stage III. Noble rot	mature noble rot berries, fully shrivelled	berry	4/5	field study	November 3, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	DFIV-4	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	DFIV-4	sequencing assay	ERX6991132	DFIV-4.fastq.gz	DFIV-4.fastq.gz	ERR7421539	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/009/ERR7421539/ERR7421539.fastq.gz	stage III. Noble rot	mature noble rot berries, fully shrivelled	November 3, 2016
DFIV-5	ERS8946025	SAMEA11296466	Vitis vinifera	Furmint	wild type genotype	stage III. Noble rot	mature noble rot berries, fully shrivelled	berry	5/5	field study	November 3, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	DFIV-5	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	DFIV-5	sequencing assay	ERX6991133	DFIV-5.fastq.gz	DFIV-5.fastq.gz	ERR7421540	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/000/ERR7421540/ERR7421540.fastq.gz	stage III. Noble rot	mature noble rot berries, fully shrivelled	November 3, 2016
CFII-1	ERS8946026	SAMEA11296467	Vitis vinifera	Furmint	wild type genotype	stage I. Noble rot	partly botrytized epidermis, no shrivelling	berry	1/5	field study	October 25, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	CFII-1	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	CFII-1	sequencing assay	ERX6991134	CFII-1.fastq.gz	CFII-1.fastq.gz	ERR7421541	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/001/ERR7421541/ERR7421541.fastq.gz	stage I. Noble rot	partly botrytized epidermis, no shrivelling	October 25, 2016
CFII-2	ERS8946027	SAMEA11296468	Vitis vinifera	Furmint	wild type genotype	stage I. Noble rot	partly botrytized epidermis, no shrivelling	berry	2/5	field study	October 25, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	CFII-2	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	CFII-2	sequencing assay	ERX6991135	CFII-2.fastq.gz	CFII-2.fastq.gz	ERR7421542	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/002/ERR7421542/ERR7421542.fastq.gz	stage I. Noble rot	partly botrytized epidermis, no shrivelling	October 25, 2016
CFII-3	ERS8946028	SAMEA11296469	Vitis vinifera	Furmint	wild type genotype	stage I. Noble rot	partly botrytized epidermis, no shrivelling	berry	3/5	field study	October 25, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	CFII-3	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	CFII-3	sequencing assay	ERX6991136	CFII-3.fastq.gz	CFII-3.fastq.gz	ERR7421543	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/003/ERR7421543/ERR7421543.fastq.gz	stage I. Noble rot	partly botrytized epidermis, no shrivelling	October 25, 2016
CFII-4	ERS8946029	SAMEA11296470	Vitis vinifera	Furmint	wild type genotype	stage I. Noble rot	partly botrytized epidermis, no shrivelling	berry	4/5	field study	October 25, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	CFII-4	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	CFII-4	sequencing assay	ERX6991137	CFII-4.fastq.gz	CFII-4.fastq.gz	ERR7421544	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/004/ERR7421544/ERR7421544.fastq.gz	stage I. Noble rot	partly botrytized epidermis, no shrivelling	October 25, 2016
CFII-5	ERS8946030	SAMEA11296471	Vitis vinifera	Furmint	wild type genotype	stage I. Noble rot	partly botrytized epidermis, no shrivelling	berry	5/5	field study	October 25, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	CFII-5	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	CFII-5	sequencing assay	ERX6991138	CFII-5.fastq.gz	CFII-5.fastq.gz	ERR7421545	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/005/ERR7421545/ERR7421545.fastq.gz	stage I. Noble rot	partly botrytized epidermis, no shrivelling	October 25, 2016
DFII-1	ERS8946031	SAMEA11296472	Vitis vinifera	Furmint	wild type genotype	stage I. Noble rot	partly botrytized epidermis, no shrivelling	berry	1/5	field study	November 3, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	DFII-1	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	DFII-1	sequencing assay	ERX6991139	DFII-1.fastq.gz	DFII-1.fastq.gz	ERR7421546	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/006/ERR7421546/ERR7421546.fastq.gz	stage I. Noble rot	partly botrytized epidermis, no shrivelling	November 3, 2016
DFII-2	ERS8946032	SAMEA11296473	Vitis vinifera	Furmint	wild type genotype	stage I. Noble rot	partly botrytized epidermis, no shrivelling	berry	2/5	field study	November 3, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	DFII-2	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	DFII-2	sequencing assay	ERX6991140	DFII-2.fastq.gz	DFII-2.fastq.gz	ERR7421547	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/007/ERR7421547/ERR7421547.fastq.gz	stage I. Noble rot	partly botrytized epidermis, no shrivelling	November 3, 2016
DFII-3	ERS8946033	SAMEA11296474	Vitis vinifera	Furmint	wild type genotype	stage I. Noble rot	partly botrytized epidermis, no shrivelling	berry	3/5	field study	November 3, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	DFII-3	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	DFII-3	sequencing assay	ERX6991141	DFII-3.fastq.gz	DFII-3.fastq.gz	ERR7421548	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/008/ERR7421548/ERR7421548.fastq.gz	stage I. Noble rot	partly botrytized epidermis, no shrivelling	November 3, 2016
DFII-4	ERS8946034	SAMEA11296475	Vitis vinifera	Furmint	wild type genotype	stage I. Noble rot	partly botrytized epidermis, no shrivelling	berry	4/5	field study	November 3, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	DFII-4	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	DFII-4	sequencing assay	ERX6991142	DFII-4.fastq.gz	DFII-4.fastq.gz	ERR7421549	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/009/ERR7421549/ERR7421549.fastq.gz	stage I. Noble rot	partly botrytized epidermis, no shrivelling	November 3, 2016
DFII-5	ERS8946035	SAMEA11296476	Vitis vinifera	Furmint	wild type genotype	stage I. Noble rot	partly botrytized epidermis, no shrivelling	berry	5/5	field study	November 3, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	DFII-5	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	DFII-5	sequencing assay	ERX6991143	DFII-5.fastq.gz	DFII-5.fastq.gz	ERR7421550	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/000/ERR7421550/ERR7421550.fastq.gz	stage I. Noble rot	partly botrytized epidermis, no shrivelling	November 3, 2016
CFI-1	ERS8946036	SAMEA11296477	Vitis vinifera	Furmint	wild type genotype	normal	ripe berries without symptoms of B. cinerea infection	berry	1/5	field study	October 25, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	CFI-1	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	CFI-1	sequencing assay	ERX6991144	CFI-1.fastq.gz	CFI-1.fastq.gz	ERR7421551	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/001/ERR7421551/ERR7421551.fastq.gz	normal	ripe berries without symptoms of B. cinerea infection	October 25, 2016
CFI-2	ERS8946037	SAMEA11296478	Vitis vinifera	Furmint	wild type genotype	normal	ripe berries without symptoms of B. cinerea infection	berry	2/5	field study	October 25, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	CFI-2	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	CFI-2	sequencing assay	ERX6991145	CFI-2.fastq.gz	CFI-2.fastq.gz	ERR7421552	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/002/ERR7421552/ERR7421552.fastq.gz	normal	ripe berries without symptoms of B. cinerea infection	October 25, 2016
CFI-3	ERS8946038	SAMEA11296479	Vitis vinifera	Furmint	wild type genotype	normal	ripe berries without symptoms of B. cinerea infection	berry	3/5	field study	October 25, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	CFI-3	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	CFI-3	sequencing assay	ERX6991146	CFI-3.fastq.gz	CFI-3.fastq.gz	ERR7421553	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/003/ERR7421553/ERR7421553.fastq.gz	normal	ripe berries without symptoms of B. cinerea infection	October 25, 2016
CFI-4	ERS8946039	SAMEA11296480	Vitis vinifera	Furmint	wild type genotype	normal	ripe berries without symptoms of B. cinerea infection	berry	4/5	field study	October 25, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	CFI-4	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	CFI-4	sequencing assay	ERX6991147	CFI-4.fastq.gz	CFI-4.fastq.gz	ERR7421554	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/004/ERR7421554/ERR7421554.fastq.gz	normal	ripe berries without symptoms of B. cinerea infection	October 25, 2016
CFI-5	ERS8946040	SAMEA11296481	Vitis vinifera	Furmint	wild type genotype	normal	ripe berries without symptoms of B. cinerea infection	berry	5/5	field study	October 25, 2016	RNA	P-MTAB-116365	P-MTAB-116366	P-MTAB-116367	P-MTAB-116368	CFI-5	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-116369	UD-GenoMed Medical Genomic Technologies Ltd., H4032 Debrecen, Nagyerdei krt. 98., Hungary	CFI-5	sequencing assay	ERX6991148	CFI-5.fastq.gz	CFI-5.fastq.gz	ERR7421555	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/005/ERR7421555/ERR7421555.fastq.gz	normal	ripe berries without symptoms of B. cinerea infection	October 25, 2016
