Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cultivar]	Characteristics[developmental stage]	Characteristics[growth condition]	Characteristics[organism part]	Characteristics[genotype]	Characteristics[infect]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[cultivar]	Factor Value[infect]	Factor Value[time]	Unit[time unit]
Tocai_FDSt_3dpi_82	ERS3164650	SAMEA5359030	Vitis vinifera	Tocai	seedling development stage	long day length regimen	whole organism	wild type genotype	Flavescence doree phytoplasma HD1	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Tocai_FDSt_3dpi_82	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Tocai_FDSt_3dpi_82	sequencing assay	ERX3191381	MERGED_filtered_CORR_82_Tocai_FITO_3gg_GTGAAA_L007__R1_.fastQ.bz2	MERGED_filtered_CORR_82_Tocai_FITO_3gg_GTGAAA_L007__R1_.fastQ.bz2	ERR3163297	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/007/ERR3163297/ERR3163297.fastq.gz	Tocai	Flavescence doree phytoplasma HD1	3	day
Tocai_FDSt_6dpi_100	ERS3164651	SAMEA5359031	Vitis vinifera	Tocai	seedling development stage	long day length regimen	whole organism	wild type genotype	Flavescence doree phytoplasma HD1	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Tocai_FDSt_6dpi_100	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Tocai_FDSt_6dpi_100	sequencing assay	ERX3191382	MERGED_filtered_CORR_100-Tocai_FITO_6gg_ACAGTG_L007__R1_.fastQ.bz2	MERGED_filtered_CORR_100-Tocai_FITO_6gg_ACAGTG_L007__R1_.fastQ.bz2	ERR3163298	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/008/ERR3163298/ERR3163298.fastq.gz	Tocai	Flavescence doree phytoplasma HD1	6	day
Tocai_FDSt_6dpi_101	ERS3164652	SAMEA5359032	Vitis vinifera	Tocai	seedling development stage	long day length regimen	whole organism	wild type genotype	Flavescence doree phytoplasma HD1	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Tocai_FDSt_6dpi_101	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Tocai_FDSt_6dpi_101	sequencing assay	ERX3191383	MERGED_filtered_CORR_101-Tocai_FITO_6gg_ACAGTG_L008__R1_.fastQ.bz2	MERGED_filtered_CORR_101-Tocai_FITO_6gg_ACAGTG_L008__R1_.fastQ.bz2	ERR3163299	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/009/ERR3163299/ERR3163299.fastq.gz	Tocai	Flavescence doree phytoplasma HD1	6	day
Char_HSt_3dpi_132	ERS3164639	SAMEA5359019	Vitis vinifera	Chardonnay	seedling development stage	long day length regimen	whole organism	wild type genotype	Scaphoideus titanus	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Char_HSt_3dpi_132	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Char_HSt_3dpi_132	sequencing assay	ERX3191370	MERGED_filtered_CORR_132-Char_NOFITO_3gg_GTGAAA_L004__R1_.fastQ.bz2	MERGED_filtered_CORR_132-Char_NOFITO_3gg_GTGAAA_L004__R1_.fastQ.bz2	ERR3163286	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/006/ERR3163286/ERR3163286.fastq.gz	Chardonnay	Scaphoideus titanus	3	day
Char_HSt_3dpi_88	ERS3164640	SAMEA5359020	Vitis vinifera	Chardonnay	seedling development stage	long day length regimen	whole organism	wild type genotype	Scaphoideus titanus	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Char_HSt_3dpi_88	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Char_HSt_3dpi_88	sequencing assay	ERX3191371	MERGED_filtered_CORR_88-Char_NOFITO_3gg_ACAGTG_L007__R1_.fastQ.bz2	MERGED_filtered_CORR_88-Char_NOFITO_3gg_ACAGTG_L007__R1_.fastQ.bz2	ERR3163287	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/007/ERR3163287/ERR3163287.fastq.gz	Chardonnay	Scaphoideus titanus	3	day
Char_HSt_3dpi_90	ERS3164641	SAMEA5359021	Vitis vinifera	Chardonnay	seedling development stage	long day length regimen	whole organism	wild type genotype	Scaphoideus titanus	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Char_HSt_3dpi_90	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Char_HSt_3dpi_90	sequencing assay	ERX3191372	MERGED_filtered_CORR_90-Char_NOFITO_3gg_ACAGTG_L004__R1_.fastQ.bz2	MERGED_filtered_CORR_90-Char_NOFITO_3gg_ACAGTG_L004__R1_.fastQ.bz2	ERR3163288	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/008/ERR3163288/ERR3163288.fastq.gz	Chardonnay	Scaphoideus titanus	3	day
Char_HSt_6dpi_52	ERS3164642	SAMEA5359022	Vitis vinifera	Chardonnay	seedling development stage	long day length regimen	whole organism	wild type genotype	Scaphoideus titanus	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Char_HSt_6dpi_52	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Char_HSt_6dpi_52	sequencing assay	ERX3191373	MERGED_filtered_CORR_52_Char_NOFITO_6gg_GTGAAA_L007__R1_.fastQ.bz2	MERGED_filtered_CORR_52_Char_NOFITO_6gg_GTGAAA_L007__R1_.fastQ.bz2	ERR3163289	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/009/ERR3163289/ERR3163289.fastq.gz	Chardonnay	Scaphoideus titanus	6	day
Char_HST_6dpi_665	ERS3164643	SAMEA5359023	Vitis vinifera	Chardonnay	seedling development stage	long day length regimen	whole organism	wild type genotype	Scaphoideus titanus	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Char_HST_6dpi_665	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Char_HST_6dpi_665	sequencing assay	ERX3191374	MERGED_filtered_CORR_665-Char_NOFITO_6gg_GTGAAA_L002__R1_.fastQ.bz2	MERGED_filtered_CORR_665-Char_NOFITO_6gg_GTGAAA_L002__R1_.fastQ.bz2	ERR3163290	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/000/ERR3163290/ERR3163290.fastq.gz	Chardonnay	Scaphoideus titanus	6	day
Char_HSt_6dpi_87	ERS3164644	SAMEA5359024	Vitis vinifera	Chardonnay	seedling development stage	long day length regimen	whole organism	wild type genotype	Scaphoideus titanus	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Char_HSt_6dpi_87	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Char_HSt_6dpi_87	sequencing assay	ERX3191375	MERGED_filtered_CORR_87-Char_NOFITO_6gg_ACAGTG_L008__R1_.fastQ.bz2	MERGED_filtered_CORR_87-Char_NOFITO_6gg_ACAGTG_L008__R1_.fastQ.bz2	ERR3163291	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/001/ERR3163291/ERR3163291.fastq.gz	Chardonnay	Scaphoideus titanus	6	day
Tocai_HSt_3dpi_22	ERS3164653	SAMEA5359033	Vitis vinifera	Tocai	seedling development stage	long day length regimen	whole organism	wild type genotype	Scaphoideus titanus	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Tocai_HSt_3dpi_22	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Tocai_HSt_3dpi_22	sequencing assay	ERX3191384	MERGED_filtered_CORR_22-Tocai_NOFITO_3gg_GTGAAA_L003__R1_.fastQ.bz2	MERGED_filtered_CORR_22-Tocai_NOFITO_3gg_GTGAAA_L003__R1_.fastQ.bz2	ERR3163300	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/000/ERR3163300/ERR3163300.fastq.gz	Tocai	Scaphoideus titanus	3	day
Tocai_HSt_3dpi_6	ERS3164654	SAMEA5359034	Vitis vinifera	Tocai	seedling development stage	long day length regimen	whole organism	wild type genotype	Scaphoideus titanus	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Tocai_HSt_3dpi_6	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Tocai_HSt_3dpi_6	sequencing assay	ERX3191385	MERGED_filtered_CORR_6-Tocai_NOFITO_3gg_GTGAAA_L002__R1_.fastQ.bz2	MERGED_filtered_CORR_6-Tocai_NOFITO_3gg_GTGAAA_L002__R1_.fastQ.bz2	ERR3163301	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/001/ERR3163301/ERR3163301.fastq.gz	Tocai	Scaphoideus titanus	3	day
Tocai_HSt_3dpi_84	ERS3164655	SAMEA5359035	Vitis vinifera	Tocai	seedling development stage	long day length regimen	whole organism	wild type genotype	Scaphoideus titanus	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Tocai_HSt_3dpi_84	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Tocai_HSt_3dpi_84	sequencing assay	ERX3191386	MERGED_filtered_CORR_84-Tocai_NOFITO_3gg_GTGAAA_L007__R1_.fastQ.bz2	MERGED_filtered_CORR_84-Tocai_NOFITO_3gg_GTGAAA_L007__R1_.fastQ.bz2	ERR3163302	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/002/ERR3163302/ERR3163302.fastq.gz	Tocai	Scaphoideus titanus	3	day
Tocai_HSt_6dpi_69	ERS3164656	SAMEA5359036	Vitis vinifera	Tocai	seedling development stage	long day length regimen	whole organism	wild type genotype	Scaphoideus titanus	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Tocai_HSt_6dpi_69	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Tocai_HSt_6dpi_69	sequencing assay	ERX3191387	MERGED_filtered_CORR_69-Tocai_NOFITO_6gg_GTGAAA_L004__R1_.fastQ.bz2	MERGED_filtered_CORR_69-Tocai_NOFITO_6gg_GTGAAA_L004__R1_.fastQ.bz2	ERR3163303	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/003/ERR3163303/ERR3163303.fastq.gz	Tocai	Scaphoideus titanus	6	day
Tocai_HSt_6dpi_70	ERS3164657	SAMEA5359037	Vitis vinifera	Tocai	seedling development stage	long day length regimen	whole organism	wild type genotype	Scaphoideus titanus	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Tocai_HSt_6dpi_70	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Tocai_HSt_6dpi_70	sequencing assay	ERX3191388	MERGED_filtered_CORR_70-Tocai_NOFITO_6gg_GTGAAA_L005__R1_.fastQ.bz2	MERGED_filtered_CORR_70-Tocai_NOFITO_6gg_GTGAAA_L005__R1_.fastQ.bz2	ERR3163304	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/004/ERR3163304/ERR3163304.fastq.gz	Tocai	Scaphoideus titanus	6	day
Tocai_HSt_6dpi_86	ERS3164658	SAMEA5359038	Vitis vinifera	Tocai	seedling development stage	long day length regimen	whole organism	wild type genotype	Scaphoideus titanus	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Tocai_HSt_6dpi_86	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Tocai_HSt_6dpi_86	sequencing assay	ERX3191389	MERGED_filtered_CORR_86-Tocai_NOFITO_6gg_GTGAAA_L008__R1_.fastQ.bz2	MERGED_filtered_CORR_86-Tocai_NOFITO_6gg_GTGAAA_L008__R1_.fastQ.bz2	ERR3163305	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/005/ERR3163305/ERR3163305.fastq.gz	Tocai	Scaphoideus titanus	6	day
Char_noSt_6dpi_34	ERS3164645	SAMEA5359025	Vitis vinifera	Chardonnay	seedling development stage	long day length regimen	whole organism	wild type genotype	none	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Char_noSt_6dpi_34	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Char_noSt_6dpi_34	sequencing assay	ERX3191376	MERGED_filtered_CORR_34-Char_CTRL_6gg_ACAGTG_L001__R1__BIS.fastQ.bz2	MERGED_filtered_CORR_34-Char_CTRL_6gg_ACAGTG_L001__R1__BIS.fastQ.bz2	ERR3163292	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/002/ERR3163292/ERR3163292.fastq.gz	Chardonnay	none	6	day
Char_noSt_6dpi_43	ERS3164646	SAMEA5359026	Vitis vinifera	Chardonnay	seedling development stage	long day length regimen	whole organism	wild type genotype	none	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Char_noSt_6dpi_43	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Char_noSt_6dpi_43	sequencing assay	ERX3191377	MERGED_filtered_CORR_43-Char_CTRL_6gg_ACAGTG_L002__R1_.fastQ.bz2	MERGED_filtered_CORR_43-Char_CTRL_6gg_ACAGTG_L002__R1_.fastQ.bz2	ERR3163293	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/003/ERR3163293/ERR3163293.fastq.gz	Chardonnay	none	6	day
Char_noSt_6dpi_53	ERS3164647	SAMEA5359027	Vitis vinifera	Chardonnay	seedling development stage	long day length regimen	whole organism	wild type genotype	none	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Char_noSt_6dpi_53	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Char_noSt_6dpi_53	sequencing assay	ERX3191378	MERGED_filtered_CORR_53-Char_CTRL_6gg_ACAGTG_L004__R1_.fastQ.bz2	MERGED_filtered_CORR_53-Char_CTRL_6gg_ACAGTG_L004__R1_.fastQ.bz2	ERR3163294	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/004/ERR3163294/ERR3163294.fastq.gz	Chardonnay	none	6	day
Tocai_noSt_3dpi_12	ERS3164659	SAMEA5359039	Vitis vinifera	Tocai	seedling development stage	long day length regimen	whole organism	wild type genotype	none	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Tocai_noSt_3dpi_12	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Tocai_noSt_3dpi_12	sequencing assay	ERX3191390	MERGED_filtered_CORR_12-Tocai_CTRL_3gg_ACAGTG_L001__R1_.fastQ.bz2	MERGED_filtered_CORR_12-Tocai_CTRL_3gg_ACAGTG_L001__R1_.fastQ.bz2	ERR3163306	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/006/ERR3163306/ERR3163306.fastq.gz	Tocai	none	3	day
Tocai_noSt_3dpi_20	ERS3164660	SAMEA5359040	Vitis vinifera	Tocai	seedling development stage	long day length regimen	whole organism	wild type genotype	none	whole organism	P-MTAB-83312	P-MTAB-83313	P-MTAB-83314	P-MTAB-83315	Elisabetta Mazzucotelli	Tocai_noSt_3dpi_20	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-83316	Elisabetta Mazzucotelli	Tocai_noSt_3dpi_20	sequencing assay	ERX3191391	MERGED_filtered_CORR_20-Tocai_CTRL_3gg_ACAGTG_L003__R1_.fastQ.bz2	MERGED_filtered_CORR_20-Tocai_CTRL_3gg_ACAGTG_L003__R1_.fastQ.bz2	ERR3163307	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR316/007/ERR3163307/ERR3163307.fastq.gz	Tocai	none	3	day
