Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[cultivar]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[growth condition]	Description	Comment[ENA_ALIAS]	Comment [geo_loc_name]	Comment [BioSampleModel]	Comment[BioSD_SAMPLE]	Comment[ENA_ALIAS]	Comment[ENA_SAMPLE]	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[Center]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	FactorValue [developmental stage]	FactorValue [sampling time point]	FactorValue [environmental stress]
SRS974468	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	early whole plant fruit ripening stage	fruit	30 degree celsius during day and 25 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 30 degree Celsius during day/25 degree Celsius during night	V1hot	France:Montpellier	Plant	SAMN03782513	V1hot	SRS974468	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve45_SRX1075587	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075587	sequencing assay	SRX1075587	SRR2081008_1	INRA	SRR2081008	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/008/SRR2081008/SRR2081008_1.fastq.gz	200	early whole plant fruit ripening stage	day	warm/hot temperature regimen
SRS974468	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	early whole plant fruit ripening stage	fruit	30 degree celsius during day and 25 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 30 degree Celsius during day/25 degree Celsius during night	V1hot	France:Montpellier	Plant	SAMN03782513	V1hot	SRS974468	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve45_SRX1075587	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075587	sequencing assay	SRX1075587	SRR2081008_2	INRA	SRR2081008	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/008/SRR2081008/SRR2081008_2.fastq.gz	200	early whole plant fruit ripening stage	day	warm/hot temperature regimen
SRS973909	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	fruit ripening stage	fruit	25 degree celsius during day and 15 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 25 degree Celsius during day/15 degree Celsius during night	Rday_cold	France:Montpellier	Plant	SAMN03782518	Rday_cold	SRS973909	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve58_SRX1075600	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075600	sequencing assay	SRX1075600	SRR2081021_1	INRA	SRR2081021	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/001/SRR2081021/SRR2081021_1.fastq.gz	200	fruit ripening stage	day	cold temperature regimen
SRS973909	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	fruit ripening stage	fruit	25 degree celsius during day and 15 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 25 degree Celsius during day/15 degree Celsius during night	Rday_cold	France:Montpellier	Plant	SAMN03782518	Rday_cold	SRS973909	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve58_SRX1075600	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075600	sequencing assay	SRX1075600	SRR2081021_2	INRA	SRR2081021	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/001/SRR2081021/SRR2081021_2.fastq.gz	200	fruit ripening stage	day	cold temperature regimen
SRS973909	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	fruit ripening stage	fruit	25 degree celsius during day and 15 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 25 degree Celsius during day/15 degree Celsius during night	Rday_cold	France:Montpellier	Plant	SAMN03782518	Rday_cold	SRS973909	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve59_SRX1075601	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075601	sequencing assay	SRX1075601	SRR2081022_1	INRA	SRR2081022	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/002/SRR2081022/SRR2081022_1.fastq.gz	200	fruit ripening stage	day	cold temperature regimen
SRS973909	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	fruit ripening stage	fruit	25 degree celsius during day and 15 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 25 degree Celsius during day/15 degree Celsius during night	Rday_cold	France:Montpellier	Plant	SAMN03782518	Rday_cold	SRS973909	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve59_SRX1075601	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075601	sequencing assay	SRX1075601	SRR2081022_2	INRA	SRR2081022	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/002/SRR2081022/SRR2081022_2.fastq.gz	200	fruit ripening stage	day	cold temperature regimen
SRS973909	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	fruit ripening stage	fruit	25 degree celsius during day and 15 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 25 degree Celsius during day/15 degree Celsius during night	Rday_cold	France:Montpellier	Plant	SAMN03782518	Rday_cold	SRS973909	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve60_SRX1075602	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075602	sequencing assay	SRX1075602	SRR2081023_1	INRA	SRR2081023	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/003/SRR2081023/SRR2081023_1.fastq.gz	200	fruit ripening stage	day	cold temperature regimen
SRS973909	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	fruit ripening stage	fruit	25 degree celsius during day and 15 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 25 degree Celsius during day/15 degree Celsius during night	Rday_cold	France:Montpellier	Plant	SAMN03782518	Rday_cold	SRS973909	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve60_SRX1075602	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075602	sequencing assay	SRX1075602	SRR2081023_2	INRA	SRR2081023	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/003/SRR2081023/SRR2081023_2.fastq.gz	200	fruit ripening stage	day	cold temperature regimen
SRS973908	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	fruit ripening stage	fruit	25 degree celsius during day and 15 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 25 degree Celsius during day/15 degree Celsius during night	Rnight_cold	France:Montpellier	Plant	SAMN03782519	Rnight_cold	SRS973908	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve61_SRX1075603	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075603	sequencing assay	SRX1075603	SRR2081024_1	INRA	SRR2081024	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/004/SRR2081024/SRR2081024_1.fastq.gz	200	fruit ripening stage	night	cold temperature regimen
SRS973908	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	fruit ripening stage	fruit	25 degree celsius during day and 15 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 25 degree Celsius during day/15 degree Celsius during night	Rnight_cold	France:Montpellier	Plant	SAMN03782519	Rnight_cold	SRS973908	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve61_SRX1075603	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075603	sequencing assay	SRX1075603	SRR2081024_2	INRA	SRR2081024	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/004/SRR2081024/SRR2081024_2.fastq.gz	200	fruit ripening stage	night	cold temperature regimen
SRS973908	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	fruit ripening stage	fruit	25 degree celsius during day and 15 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 25 degree Celsius during day/15 degree Celsius during night	Rnight_cold	France:Montpellier	Plant	SAMN03782519	Rnight_cold	SRS973908	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve62_SRX1075604	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075604	sequencing assay	SRX1075604	SRR2081025_1	INRA	SRR2081025	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/005/SRR2081025/SRR2081025_1.fastq.gz	200	fruit ripening stage	night	cold temperature regimen
SRS973908	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	fruit ripening stage	fruit	25 degree celsius during day and 15 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 25 degree Celsius during day/15 degree Celsius during night	Rnight_cold	France:Montpellier	Plant	SAMN03782519	Rnight_cold	SRS973908	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve62_SRX1075604	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075604	sequencing assay	SRX1075604	SRR2081025_2	INRA	SRR2081025	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/005/SRR2081025/SRR2081025_2.fastq.gz	200	fruit ripening stage	night	cold temperature regimen
SRS973908	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	fruit ripening stage	fruit	25 degree celsius during day and 15 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 25 degree Celsius during day/15 degree Celsius during night	Rnight_cold	France:Montpellier	Plant	SAMN03782519	Rnight_cold	SRS973908	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve63_SRX1075605	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075605	sequencing assay	SRX1075605	SRR2081026_1	INRA	SRR2081026	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/006/SRR2081026/SRR2081026_1.fastq.gz	200	fruit ripening stage	night	cold temperature regimen
SRS973908	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	fruit ripening stage	fruit	25 degree celsius during day and 15 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 25 degree Celsius during day/15 degree Celsius during night	Rnight_cold	France:Montpellier	Plant	SAMN03782519	Rnight_cold	SRS973908	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve63_SRX1075605	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075605	sequencing assay	SRX1075605	SRR2081026_2	INRA	SRR2081026	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/006/SRR2081026/SRR2081026_2.fastq.gz	200	fruit ripening stage	night	cold temperature regimen
SRS974465	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	fruit ripening stage	fruit	30 degree celsius during day and 25 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 30 degree Celsius during day/25 degree Celsius during night	Rday_hot	France:Montpellier	Plant	SAMN03782516	Rday_hot	SRS974465	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve52_SRX1075594	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075594	sequencing assay	SRX1075594	SRR2081015_1	INRA	SRR2081015	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/005/SRR2081015/SRR2081015_1.fastq.gz	200	fruit ripening stage	day	warm/hot temperature regimen
SRS974465	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	fruit ripening stage	fruit	30 degree celsius during day and 25 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 30 degree Celsius during day/25 degree Celsius during night	Rday_hot	France:Montpellier	Plant	SAMN03782516	Rday_hot	SRS974465	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve52_SRX1075594	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075594	sequencing assay	SRX1075594	SRR2081015_2	INRA	SRR2081015	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/005/SRR2081015/SRR2081015_2.fastq.gz	200	fruit ripening stage	day	warm/hot temperature regimen
SRS974465	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	fruit ripening stage	fruit	30 degree celsius during day and 25 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 30 degree Celsius during day/25 degree Celsius during night	Rday_hot	France:Montpellier	Plant	SAMN03782516	Rday_hot	SRS974465	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve53_SRX1075595	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075595	sequencing assay	SRX1075595	SRR2081016_1	INRA	SRR2081016	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/006/SRR2081016/SRR2081016_1.fastq.gz	200	fruit ripening stage	day	warm/hot temperature regimen
SRS974465	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	fruit ripening stage	fruit	30 degree celsius during day and 25 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 30 degree Celsius during day/25 degree Celsius during night	Rday_hot	France:Montpellier	Plant	SAMN03782516	Rday_hot	SRS974465	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve53_SRX1075595	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075595	sequencing assay	SRX1075595	SRR2081016_2	INRA	SRR2081016	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/006/SRR2081016/SRR2081016_2.fastq.gz	200	fruit ripening stage	day	warm/hot temperature regimen
SRS974465	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	fruit ripening stage	fruit	30 degree celsius during day and 25 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 30 degree Celsius during day/25 degree Celsius during night	Rday_hot	France:Montpellier	Plant	SAMN03782516	Rday_hot	SRS974465	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve54_SRX1075596	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075596	sequencing assay	SRX1075596	SRR2081017_1	INRA	SRR2081017	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/007/SRR2081017/SRR2081017_1.fastq.gz	200	fruit ripening stage	day	warm/hot temperature regimen
SRS974465	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	fruit ripening stage	fruit	30 degree celsius during day and 25 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 30 degree Celsius during day/25 degree Celsius during night	Rday_hot	France:Montpellier	Plant	SAMN03782516	Rday_hot	SRS974465	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve54_SRX1075596	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075596	sequencing assay	SRX1075596	SRR2081017_2	INRA	SRR2081017	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/007/SRR2081017/SRR2081017_2.fastq.gz	200	fruit ripening stage	day	warm/hot temperature regimen
SRS974462	Vitis vinifera	NCBI Taxonomy	29760	ML1 line, microvine regenerated from Pinot Meunier mutant	fruit ripening stage	fruit	30 degree celsius during day and 25 degree celsius during night	Sample of Dwarf rapid cycling and continous flowering pinot meunier mutant (line ML 1) berries sampled during daytime. Temperature treatment 30 degree Celsius during day/25 degree Celsius during night	Rnight_hot	France:Montpellier	Plant	SAMN03782517	Rnight_hot	SRS974462	LIBRARY_CONSTRUCTION_PROTOCOL_1	Ve55_SRX1075597	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	  	SRX1075597	sequencing assay	SRX1075597	SRR2081018_1	INRA	SRR2081018	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/008/SRR2081018/SRR2081018_1.fastq.gz	200	fruit ripening stage	night	warm/hot temperature regimen
