Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[cultivar]	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Description	Comment[BioSD_SAMPLE]	Comment[ENA_ALIAS]	Comment[ENA_SAMPLE]	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Comment[technical replicate group]	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[Center]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[READ_INDEX_1_BASE_COORD]	Comment[SPOT_LENGTH]	FactorValue [infect]
SRS346464	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	Vitis vinifera cv. Pinot Noir leaves of control plants, collected 24 h after Plasmopara viticola inoculation, biological replicate (plant) 2	  	C_Pv_2	SRS346464	LIBRARY_CONSTRUCTION_PROTOCOL_1	ISR_5_SRX155390	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155390	group5	sequencing assay	SRX155390	SRR519455_1	Fondazione Edmund Mach	SRR519455	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR519/SRR519455/SRR519455_1.fastq.gz	101	200	Plasmopara viticola
SRS346464	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	Vitis vinifera cv. Pinot Noir leaves of control plants, collected 24 h after Plasmopara viticola inoculation, biological replicate (plant) 2	  	C_Pv_2	SRS346464	LIBRARY_CONSTRUCTION_PROTOCOL_1	ISR_5_SRX155390	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155390	group5	sequencing assay	SRX155390	SRR519455_2	Fondazione Edmund Mach	SRR519455	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR519/SRR519455/SRR519455_2.fastq.gz	101	200	Plasmopara viticola
SRS346464	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	Vitis vinifera cv. Pinot Noir leaves of control plants, collected 24 h after Plasmopara viticola inoculation, biological replicate (plant) 2	  	C_Pv_2	SRS346464	LIBRARY_CONSTRUCTION_PROTOCOL_1	ISR_5_SRX155390	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155390	group5	sequencing assay	SRX155390	SRR519456_1	Fondazione Edmund Mach	SRR519456	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR519/SRR519456/SRR519456_1.fastq.gz	101	200	Plasmopara viticola
SRS346464	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	Vitis vinifera cv. Pinot Noir leaves of control plants, collected 24 h after Plasmopara viticola inoculation, biological replicate (plant) 2	  	C_Pv_2	SRS346464	LIBRARY_CONSTRUCTION_PROTOCOL_1	ISR_5_SRX155390	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155390	group5	sequencing assay	SRX155390	SRR519456_2	Fondazione Edmund Mach	SRR519456	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR519/SRR519456/SRR519456_2.fastq.gz	101	200	Plasmopara viticola
SRS346465	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	Vitis vinifera cv. Pinot Noir leaves of control plants, collected 24 h after Plasmopara viticola inoculation, biological replicate (plant) 3	  	C_Pv_3	SRS346465	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX155391	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155391	group6	sequencing assay	SRX155391	SRR520374_1	Fondazione Edmund Mach	SRR520374	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/SRR520374/SRR520374_1.fastq.gz	101	200	Plasmopara viticola
SRS346465	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	Vitis vinifera cv. Pinot Noir leaves of control plants, collected 24 h after Plasmopara viticola inoculation, biological replicate (plant) 3	  	C_Pv_3	SRS346465	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX155391	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155391	group6	sequencing assay	SRX155391	SRR520374_2	Fondazione Edmund Mach	SRR520374	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/SRR520374/SRR520374_2.fastq.gz	101	200	Plasmopara viticola
SRS346465	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	Vitis vinifera cv. Pinot Noir leaves of control plants, collected 24 h after Plasmopara viticola inoculation, biological replicate (plant) 3	  	C_Pv_3	SRS346465	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX768303	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	  	  	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX768303	group6	sequencing assay	SRX768303	SRR520373	Fondazione Edmund Mach	SRR520373	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/SRR520373/SRR520373.fastq.gz	  	  	Plasmopara viticola
SRS346466	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	RNA-Seq analysis of T39-treated grapevine leaves, biological replicate 1	  	T39_1	SRS346466	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX155392	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155392	group7	sequencing assay	SRX155392	SRR520378_1	Fondazione Edmund Mach	SRR520378	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/SRR520378/SRR520378_1.fastq.gz	101	200	Trichoderma harzianum
SRS346466	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	RNA-Seq analysis of T39-treated grapevine leaves, biological replicate 1	  	T39_1	SRS346466	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX155392	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155392	group7	sequencing assay	SRX155392	SRR520378_2	Fondazione Edmund Mach	SRR520378	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/SRR520378/SRR520378_2.fastq.gz	101	200	Trichoderma harzianum
SRS346466	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	RNA-Seq analysis of T39-treated grapevine leaves, biological replicate 1	  	T39_1	SRS346466	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX768304	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	  	  	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX768304	group7	sequencing assay	SRX768304	SRR520377	Fondazione Edmund Mach	SRR520377	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/SRR520377/SRR520377.fastq.gz	  	  	Trichoderma harzianum
SRS346467	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	RNA-Seq analysis of T39-treated grapevine leaves, biological replicate 2	  	T39_2	SRS346467	LIBRARY_CONSTRUCTION_PROTOCOL_1	ISR_8_SRX155393	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155393	group8	sequencing assay	SRX155393	SRR520379_1	Fondazione Edmund Mach	SRR520379	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/SRR520379/SRR520379_1.fastq.gz	101	200	Trichoderma harzianum
SRS346467	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	RNA-Seq analysis of T39-treated grapevine leaves, biological replicate 2	  	T39_2	SRS346467	LIBRARY_CONSTRUCTION_PROTOCOL_1	ISR_8_SRX155393	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155393	group8	sequencing assay	SRX155393	SRR520379_2	Fondazione Edmund Mach	SRR520379	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/SRR520379/SRR520379_2.fastq.gz	101	200	Trichoderma harzianum
SRS346467	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	RNA-Seq analysis of T39-treated grapevine leaves, biological replicate 2	  	T39_2	SRS346467	LIBRARY_CONSTRUCTION_PROTOCOL_1	ISR_8_SRX155393	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155393	group8	sequencing assay	SRX155393	SRR520380_1	Fondazione Edmund Mach	SRR520380	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/SRR520380/SRR520380_1.fastq.gz	101	200	Trichoderma harzianum
SRS346467	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	RNA-Seq analysis of T39-treated grapevine leaves, biological replicate 2	  	T39_2	SRS346467	LIBRARY_CONSTRUCTION_PROTOCOL_1	ISR_8_SRX155393	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155393	group8	sequencing assay	SRX155393	SRR520380_2	Fondazione Edmund Mach	SRR520380	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/SRR520380/SRR520380_2.fastq.gz	101	200	Trichoderma harzianum
SRS346468	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	RNA-Seq analysis of T39-treated grapevine leaves, biological replicate 3	  	T39_3	SRS346468	LIBRARY_CONSTRUCTION_PROTOCOL_1	ISR_9_SRX155394	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155394	group9	sequencing assay	SRX155394	SRR520381_1	Fondazione Edmund Mach	SRR520381	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/SRR520381/SRR520381_1.fastq.gz	101	200	Trichoderma harzianum
SRS346468	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	RNA-Seq analysis of T39-treated grapevine leaves, biological replicate 3	  	T39_3	SRS346468	LIBRARY_CONSTRUCTION_PROTOCOL_1	ISR_9_SRX155394	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155394	group9	sequencing assay	SRX155394	SRR520381_2	Fondazione Edmund Mach	SRR520381	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/SRR520381/SRR520381_2.fastq.gz	101	200	Trichoderma harzianum
SRS346468	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	RNA-Seq analysis of T39-treated grapevine leaves, biological replicate 3	  	T39_3	SRS346468	LIBRARY_CONSTRUCTION_PROTOCOL_1	ISR_9_SRX155394	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155394	group9	sequencing assay	SRX155394	SRR520382_1	Fondazione Edmund Mach	SRR520382	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/SRR520382/SRR520382_1.fastq.gz	101	200	Trichoderma harzianum
SRS346468	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	RNA-Seq analysis of T39-treated grapevine leaves, biological replicate 3	  	T39_3	SRS346468	LIBRARY_CONSTRUCTION_PROTOCOL_1	ISR_9_SRX155394	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155394	group9	sequencing assay	SRX155394	SRR520382_2	Fondazione Edmund Mach	SRR520382	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/SRR520382/SRR520382_2.fastq.gz	101	200	Trichoderma harzianum
SRS346470	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	Vitis vinifera cv. Pinot Noir leaves of plants treated with Trichoderma harzianum T39, collected 24 h after Plasmopara viticola inoculation, biological replicate (plant) 1	  	T39_Pv_1	SRS346470	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX155397	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155397	group10	sequencing assay	SRX155397	SRR520384_1	Fondazione Edmund Mach	SRR520384	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/SRR520384/SRR520384_1.fastq.gz	101	200	Trichoderma harzianum and Plasmopara viticola
SRS346470	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	Vitis vinifera cv. Pinot Noir leaves of plants treated with Trichoderma harzianum T39, collected 24 h after Plasmopara viticola inoculation, biological replicate (plant) 1	  	T39_Pv_1	SRS346470	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX155397	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155397	group10	sequencing assay	SRX155397	SRR520384_2	Fondazione Edmund Mach	SRR520384	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/SRR520384/SRR520384_2.fastq.gz	101	200	Trichoderma harzianum and Plasmopara viticola
SRS346470	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	Vitis vinifera cv. Pinot Noir leaves of plants treated with Trichoderma harzianum T39, collected 24 h after Plasmopara viticola inoculation, biological replicate (plant) 1	  	T39_Pv_1	SRS346470	LIBRARY_CONSTRUCTION_PROTOCOL_1	_SRX768305	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	  	  	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX768305	group10	sequencing assay	SRX768305	SRR520383	Fondazione Edmund Mach	SRR520383	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/SRR520383/SRR520383.fastq.gz	  	  	Trichoderma harzianum and Plasmopara viticola
SRS346471	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	Vitis vinifera cv. Pinot Noir leaves of plants treated with Trichoderma harzianum T39, collected 24 h after Plasmopara viticola inoculation, biological replicate (plant) 2	  	T39_Pv_2	SRS346471	LIBRARY_CONSTRUCTION_PROTOCOL_1	ISR_11_SRX155399	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155399	group11	sequencing assay	SRX155399	SRR520385_1	Fondazione Edmund Mach	SRR520385	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/SRR520385/SRR520385_1.fastq.gz	101	200	Trichoderma harzianum and Plasmopara viticola
SRS346471	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	Vitis vinifera cv. Pinot Noir leaves of plants treated with Trichoderma harzianum T39, collected 24 h after Plasmopara viticola inoculation, biological replicate (plant) 2	  	T39_Pv_2	SRS346471	LIBRARY_CONSTRUCTION_PROTOCOL_1	ISR_11_SRX155399	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155399	group11	sequencing assay	SRX155399	SRR520385_2	Fondazione Edmund Mach	SRR520385	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/SRR520385/SRR520385_2.fastq.gz	101	200	Trichoderma harzianum and Plasmopara viticola
SRS346471	Vitis vinifera	NCBI Taxonomy	29760	Pinot Noir	2	year	leaf	Vitis vinifera cv. Pinot Noir leaves of plants treated with Trichoderma harzianum T39, collected 24 h after Plasmopara viticola inoculation, biological replicate (plant) 2	  	T39_Pv_2	SRS346471	LIBRARY_CONSTRUCTION_PROTOCOL_1	ISR_11_SRX155399	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	200	0	SEQUENCING_PROTOCOL_1	Fondazione Edmund Mach	SRX155399	group11	sequencing assay	SRX155399	SRR520386_1	Fondazione Edmund Mach	SRR520386	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/SRR520386/SRR520386_1.fastq.gz	101	200	Trichoderma harzianum and Plasmopara viticola
